TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.55,3.55,3.47,3.57,3.48,3.48,0.0,3.48,3.5,3.499,166848.97,47686.0,312.0,0.0,3.55,1,1.0,2088.0,600,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.5,3.5,3.49,3.63,3.55,3.55,2.011,3.55,3.57,3.541,899868.32,254124.0,1705.0,0.0,1050.0,300,3.0,9606.3,2706,4,1384.5,390,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.59,3.59,3.55,3.68,3.57,3.57,0.563,3.57,3.58,3.604,536832.17,148939.0,625.0,0.0,3611.54,1006,7.0,278.46,78,2,7850.43,2199,14,3.59,3.65,3.637,16913.5,4650,4,0.0,0.0,0.0,0.0,0,0
2015-12-03,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.59,3.59,3.5,3.59,3.5,3.5,-1.961,3.5,3.51,3.549,235905.95,66468.0,310.0,0.0,2157.59,601,5.0,5950.0,1700,7,175.0,50,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.52,3.52,3.46,3.54,3.49,0.0,-0.286,3.49,3.5,3.491,164293.28,47058.0,226.0,0.0,2119.04,602,6.0,0.0,0,0,2237.09,641,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.51,0.0,3.47,3.67,3.61,3.61,3.438,3.61,3.63,3.601,987103.15,274117.0,995.0,0.0,0.0,0,0.0,21660.0,6000,7,0.0,0,0,3.5,3.66,3.612,32212.17,8918,11,0.0,0.0,0.0,0.0,0,0
2015-12-08,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.64,3.64,3.55,3.89,3.56,3.56,-1.385,3.55,3.56,3.715,1923733.76,517785.0,1976.0,0.0,4382.56,1204,10.0,22428.0,6300,6,6739.08,1893,3,3.69,3.88,3.794,36515.82,9625,108,0.0,0.0,0.0,0.0,0,0
2015-12-09,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.63,3.63,3.46,3.64,3.55,3.55,-0.281,3.54,3.55,3.517,841778.41,239331.0,1060.0,0.0,156.09,43,1.0,10827.5,3050,7,7100.0,2000,1,3.64,3.64,3.64,1001.0,275,2,0.0,0.0,0.0,0.0,0,0
2015-12-10,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.55,3.55,3.36,3.55,3.37,3.37,-5.07,3.37,3.4,3.472,526285.4,151598.0,505.0,0.0,550.25,155,2.0,10952.5,3250,5,1348.0,400,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,YUNSA,YUNSA,N,MSPOT,MSPOTEQT,MSPOTEQTYUNSA,0,0,0,0,0,3.39,3.39,3.28,3.4,3.29,3.29,-2.374,3.29,3.31,3.325,251518.6,75639.0,324.0,0.0,1017.0,300,1.0,3290.0,1000,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
