Date,Adj Close,Close,High,Low,Open,Volume
2010-01-01,14.242016792297363,29.75,29.75,29.75,29.75,0
2010-01-04,14.481378555297852,30.25,30.5,29.5,29.75,769687
2010-01-05,15.07978343963623,31.5,32.0,31.0,31.25,1407742
2010-01-06,15.07978343963623,31.5,31.75,31.0,31.5,344001
2010-01-07,15.07978343963623,31.5,31.75,31.0,31.25,437051
2010-01-08,14.960101127624512,31.25,32.25,31.0,31.75,825519
2010-01-11,14.840420722961426,31.0,31.5,30.5,30.75,768578
2010-01-12,14.840420722961426,31.0,31.0,30.0,30.5,535051
2010-01-13,15.07978343963623,31.5,31.75,29.75,30.0,1358333
2010-01-14,15.438825607299805,32.25,32.25,31.25,32.0,2727691
2010-01-15,15.199462890625,31.75,32.5,31.25,32.5,823031
2010-01-18,15.07978343963623,31.5,31.75,31.25,31.25,683314
2010-01-19,15.438825607299805,32.25,32.5,31.25,31.75,830120
2010-01-20,15.199462890625,31.75,32.5,31.5,32.5,1470553
2010-01-21,15.438825607299805,32.25,32.5,31.5,31.75,1037677
2010-01-22,15.07978343963623,31.5,31.75,31.0,31.5,1154325
2010-01-25,15.07978343963623,31.5,32.0,31.0,31.25,467994
2010-01-26,15.199462890625,31.75,32.0,31.0,31.0,351074
2010-01-27,15.07978343963623,31.5,32.0,31.25,31.5,338801
2010-01-28,15.199462890625,31.75,32.25,31.5,31.75,624645
2010-01-29,14.960101127624512,31.25,31.75,30.75,31.75,1115479
2010-02-01,14.960101127624512,31.25,31.5,31.0,31.25,401146
2010-02-02,14.720739364624023,30.75,31.25,30.5,31.25,725967
2010-02-03,14.601058006286621,30.5,31.0,30.5,31.0,668616
2010-02-04,14.242016792297363,29.75,30.5,29.25,30.5,1264840
2010-02-05,13.284571647644043,27.75,29.0,27.25,28.75,1963665
2010-02-08,13.284571647644043,27.75,28.25,27.0,27.5,1830225
2010-02-09,13.523930549621582,28.25,28.75,27.75,28.0,1447383
2010-02-10,13.6436128616333,28.5,29.25,28.5,28.75,702635
2010-02-11,13.6436128616333,28.5,28.75,28.0,28.5,468425
2010-02-12,13.6436128616333,28.5,29.0,28.25,28.5,592878
2010-02-15,13.763293266296387,28.75,29.0,28.25,28.5,914653
2010-02-16,14.242016792297363,29.75,30.0,29.0,29.25,1094502
2010-02-17,14.720739364624023,30.75,31.0,30.0,30.5,941202
2010-02-18,14.361698150634766,30.0,30.75,30.0,30.5,569610
2010-02-19,14.361698150634766,30.0,30.25,29.25,29.5,716401
2010-02-22,14.242016792297363,29.75,30.75,29.5,29.75,759552
2010-02-23,14.002655982971191,29.25,30.0,29.25,29.25,1047617
2010-02-24,13.404250144958496,28.0,29.5,27.5,28.0,1518653
2010-02-25,13.045208930969238,27.25,29.0,26.75,27.25,2241579
2010-02-26,13.404250144958496,28.0,28.25,27.0,28.0,1530767
2010-03-01,13.882974624633789,29.0,29.25,28.25,29.0,1335313
2010-03-02,13.882974624633789,29.0,29.5,28.75,29.0,516973
2010-03-03,14.242016792297363,29.75,30.0,29.0,29.75,921617
2010-03-04,14.361698150634766,30.0,30.5,29.25,30.0,1287779
2010-03-05,14.361698150634766,30.0,30.5,29.75,30.0,709134
2010-03-08,14.601058006286621,30.5,30.75,30.0,30.5,1162317
2010-03-09,14.601058006286621,30.5,31.25,30.25,30.5,1311189
2010-03-10,14.840420722961426,31.0,31.0,29.75,31.0,1320096
2010-03-11,14.720739364624023,30.75,31.5,30.5,30.75,1271818
2010-03-12,14.720739364624023,30.75,31.25,30.75,30.75,520188
2010-03-15,14.840420722961426,31.0,31.25,30.75,31.0,225129
2010-03-16,15.07978343963623,31.5,31.5,31.0,31.5,526886
2010-03-17,15.438825607299805,32.25,32.5,31.5,32.25,1008506
2010-03-18,15.199462890625,31.75,32.25,31.5,31.75,758723
2010-03-19,15.199462890625,31.75,32.5,31.75,31.75,638775
2010-03-22,15.438825607299805,32.25,32.5,31.5,32.25,963359
2010-03-23,15.319143295288086,32.0,32.5,32.0,32.0,589401
2010-03-24,15.319143295288086,32.0,32.75,32.0,32.0,756058
2010-03-25,15.438825607299805,32.25,32.75,32.0,32.25,919227
2010-03-26,15.917547225952148,33.25,33.5,32.25,33.25,1296865
2010-03-29,16.156911849975586,33.75,34.0,33.25,33.75,549455
2010-03-30,16.037229537963867,33.5,34.0,33.25,33.5,408316
2010-03-31,16.515949249267578,34.5,34.75,33.5,34.5,1087481
2010-04-01,16.994674682617188,35.5,35.5,34.25,35.5,781817
2010-04-02,16.994674682617188,35.5,35.75,35.25,35.5,340509
2010-04-05,16.63563346862793,34.75,36.0,34.5,34.75,603259
2010-04-06,16.50667381286621,32.0,32.5,31.5,32.0,997659
2010-04-07,16.76459312438965,32.5,33.0,32.0,32.5,1335472
2010-04-08,16.63563346862793,32.25,32.5,32.0,32.25,370073
2010-04-09,16.63563346862793,32.25,32.5,32.0,32.25,456908
2010-04-12,16.377716064453125,31.75,32.75,31.75,31.75,578886
2010-04-13,16.63563346862793,32.25,32.5,31.75,32.25,787068
2010-04-14,16.63563346862793,32.25,32.75,32.0,32.25,445179
2010-04-15,16.76459312438965,32.5,32.75,32.0,32.5,314340
2010-04-16,17.02250862121582,33.0,33.25,32.0,33.0,1008889
2010-04-19,16.89354705810547,32.75,33.0,32.25,32.75,841064
2010-04-20,17.40938377380371,33.75,34.0,32.75,33.75,681192
2010-04-21,17.02250862121582,33.0,34.0,33.0,33.0,858966
2010-04-22,17.151466369628906,33.25,34.0,32.75,33.25,1087519
2010-04-23,17.280426025390625,33.5,33.5,33.5,33.5,0
